repeat,seed,fold,task,pos,neg,AUROC,AUPRC,F1,Precision,Recall
11,53,3,stage3,7,4,0.643,0.797,0.75,0.667,0.857
11,53,4,immune,2,6,0.833,0.75,0.667,1.0,0.5
11,53,4,chronic,2,8,0.875,0.75,0.4,0.333,0.5
11,53,4,stage3,7,2,0.643,0.874,0.875,0.778,1.0
12,54,0,immune,3,6,0.667,0.5,0.333,0.333,0.333
12,54,0,chronic,2,9,0.444,0.236,0.0,0.0,0.0
12,54,0,stage3,5,4,0.4,0.619,0.25,0.333,0.2
12,54,1,immune,3,6,0.722,0.698,0.571,0.5,0.667
12,54,1,chronic,2,9,0.667,0.333,0.333,0.25,0.5
12,54,1,stage3,8,3,0.5,0.826,0.625,0.625,0.625
12,54,2,immune,3,6,0.611,0.444,0.0,0.0,0.0
12,54,2,chronic,2,9,0.833,0.7,0.333,0.25,0.5
12,54,2,stage3,9,1,0.111,0.841,0.571,0.8,0.444
12,54,3,immune,3,6,0.333,0.373,0.4,0.5,0.333
12,54,3,chronic,2,9,0.556,0.267,0.0,0.0,0.0
12,54,3,stage3,6,5,0.633,0.754,0.625,0.5,0.833
12,54,4,immune,2,6,0.333,0.292,0.0,0.0,0.0
12,54,4,chronic,2,8,0.812,0.5,0.5,0.5,0.5
12,54,4,stage3,6,3,0.5,0.751,0.615,0.571,0.667
13,55,0,immune,3,6,0.722,0.698,0.5,1.0,0.333
13,55,0,chronic,2,9,0.722,0.643,0.667,1.0,0.5
13,55,0,stage3,7,3,0.905,0.962,0.769,0.833,0.714
13,55,1,immune,3,6,0.5,0.425,0.4,0.5,0.333
13,55,1,chronic,2,9,0.944,0.833,0.5,0.5,0.5
13,55,1,stage3,8,3,0.833,0.95,0.8,0.857,0.75
13,55,2,immune,3,6,0.944,0.917,0.75,0.6,1.0
13,55,2,chronic,2,9,0.722,0.367,0.333,0.25,0.5
13,55,2,stage3,5,5,0.6,0.664,0.615,0.5,0.8
13,55,3,immune,3,6,0.611,0.467,0.286,0.25,0.333
13,55,3,chronic,2,9,0.5,0.243,0.0,0.0,0.0
13,55,3,stage3,7,2,0.357,0.808,0.615,0.667,0.571
13,55,4,immune,2,6,0.917,0.833,0.571,0.4,1.0
13,55,4,chronic,2,8,0.5,0.361,0.333,0.25,0.5
13,55,4,stage3,7,3,0.0,0.53,0.571,0.571,0.571
14,56,0,immune,3,6,0.722,0.667,0.0,0.0,0.0
14,56,0,chronic,2,9,0.444,0.236,0.0,0.0,0.0
14,56,0,stage3,6,4,0.625,0.796,0.667,0.556,0.833
14,56,1,immune,3,6,0.667,0.532,0.571,0.5,0.667
14,56,1,chronic,2,9,0.944,0.833,0.667,0.5,1.0
14,56,1,stage3,7,3,0.714,0.898,0.667,0.8,0.571
14,56,2,immune,3,6,0.556,0.421,0.571,0.5,0.667
14,56,2,chronic,2,9,0.889,0.75,0.4,0.333,0.5
14,56,2,stage3,6,4,0.75,0.886,0.667,0.556,0.833
14,56,3,immune,3,6,0.722,0.792,0.667,0.667,0.667
14,56,3,chronic,2,9,0.667,0.625,0.4,0.333,0.5
14,56,3,stage3,9,2,0.5,0.876,0.667,0.833,0.556
14,56,4,immune,2,6,0.833,0.75,0.667,1.0,0.5
14,56,4,chronic,2,8,0.625,0.325,0.0,0.0,0.0
14,56,4,stage3,6,3,0.778,0.897,0.833,0.833,0.833
15,57,0,immune,3,6,0.556,0.443,0.4,0.5,0.333
15,57,0,chronic,2,9,0.833,0.5,0.4,0.333,0.5
15,57,0,stage3,7,4,0.714,0.844,0.778,0.636,1.0
15,57,1,immune,3,6,0.5,0.569,0.4,0.5,0.333
15,57,1,chronic,2,9,0.778,0.417,0.0,0.0,0.0
15,57,1,stage3,8,3,0.75,0.916,0.714,0.833,0.625
15,57,2,immune,3,6,0.833,0.756,0.571,0.5,0.667
15,57,2,chronic,2,9,0.5,0.278,0.4,0.333,0.5
15,57,2,stage3,8,2,0.438,0.855,0.615,0.8,0.5
15,57,3,immune,3,6,0.778,0.81,0.667,0.667,0.667
15,57,3,chronic,2,9,0.833,0.7,0.5,0.5,0.5
15,57,3,stage3,6,3,0.278,0.605,0.4,0.5,0.333
15,57,4,immune,2,6,0.5,0.393,0.5,0.5,0.5
15,57,4,chronic,2,8,1.0,1.0,0.0,0.0,0.0
15,57,4,stage3,5,4,0.6,0.728,0.667,0.571,0.8
16,58,0,immune,3,6,0.722,0.698,0.571,0.5,0.667
16,58,0,chronic,2,9,0.778,0.667,0.286,0.2,0.5
16,58,0,stage3,6,3,0.056,0.516,0.615,0.571,0.667
16,58,1,immune,3,6,0.389,0.342,0.0,0.0,0.0
16,58,1,chronic,2,9,0.778,0.667,0.5,0.5,0.5
16,58,1,stage3,9,1,1.0,1.0,0.8,1.0,0.667
16,58,2,immune,3,6,0.833,0.833,0.8,1.0,0.667
16,58,2,chronic,2,9,1.0,1.0,0.8,0.667,1.0
16,58,2,stage3,7,4,0.964,0.982,0.857,0.857,0.857
16,58,3,immune,3,6,0.667,0.643,0.5,0.4,0.667
